City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,opuwo,-18.0607,13.84,14.53,42,3,0.69,NA,1691635322
84,sitka,57.0531,-135.33,15.94,82,100,3.6,US,1691635260
85,lazaro cardenas,17.9583,-102.2,28.22,79,100,0.66,MX,1691635233
86,polyarnyy,69.1989,33.4478,17.61,78,0,3.53,RU,1691635322
87,vorkuta,67.5,64.0,12.7,68,69,5.13,RU,1691635277
88,port mathurin,-19.6833,63.4167,22.32,75,7,5.67,MU,1691635322
89,dombarovskiy,50.7587,59.5386,19.59,68,51,8.37,RU,1691635323
90,kone,-21.0595,164.8658,20.07,53,85,6.85,NC,1691635323
91,taltal,-25.4,-70.4833,18.36,63,63,1.07,CL,1691635220
92,soto la marina,23.7667,-98.2167,27.86,83,0,6.78,MX,1691635323
93,nova sintra,14.8667,-24.7167,22.73,73,76,7.03,CV,1691635216
94,faya-largeau,17.9257,19.1043,31.11,56,100,6.35,TD,1691635323
95,kingston,17.997,-76.7936,30.53,88,75,4.63,JM,1691634922
96,new norfolk,-42.7826,147.0587,15.72,63,86,4.0,AU,1691635298
97,camabatela,-8.1881,15.375,14.38,78,7,0.96,AO,1691635324
98,longyearbyen,78.2186,15.6401,10.91,58,0,7.2,SJ,1691635324
99,tazovsky,67.4667,78.7,7.91,85,100,9.3,RU,1691635324
100,bowen,-20.0167,148.2333,22.0,60,29,7.1,AU,1691635324
101,bredasdorp,-34.5322,20.0403,9.81,87,0,1.81,ZA,1691635324
102,georgetown,5.4112,100.3354,26.96,87,40,1.54,MY,1691635271
103,kuqa,41.7278,82.9364,30.48,18,0,0.38,CN,1691635325
104,new baltimore,42.6811,-82.7369,26.08,64,40,2.06,US,1691635325
105,ferkessedougou,9.6,-5.2,21.58,98,100,0.81,CI,1691635325
106,burang,30.25,81.1667,13.2,77,100,1.92,CN,1691635296
107,pangody,65.85,74.4859,10.91,68,89,10.08,RU,1691635325
108,trat,12.5,102.5,30.11,72,67,2.69,TH,1691635326
109,west island,-12.1568,96.8225,25.99,78,75,5.66,CC,1691635224
110,port elizabeth,-33.918,25.5701,13.16,94,0,3.09,ZA,1691635326
111,udachny,66.4167,112.4,18.03,48,91,7.68,RU,1691635326
112,forked river,39.8398,-74.1901,26.09,71,5,0.89,US,1691635326
113,kas,36.2018,29.6377,24.73,76,0,0.63,TR,1691635326
114,peniche,39.3558,-9.3811,20.62,97,3,1.7,PT,1691635326
115,taro,-8.3862,115.28,21.03,51,44,1.72,ID,1691635054
116,atafu village,-8.5421,-172.5159,28.01,79,33,6.4,TK,1691635327
117,lockwood,45.8191,-108.4149,28.94,38,40,2.06,US,1691635311
118,strelka,58.0728,93.0344,20.8,55,12,1.87,RU,1691635327
119,hawaiian paradise park,19.5933,-154.9731,26.73,73,40,3.6,US,1691635327
120,okha,53.5739,142.9478,16.3,77,86,4.0,RU,1691635327
121,hilo,19.7297,-155.09,26.85,78,40,3.6,US,1691635171
122,bredy,52.4153,60.3411,16.48,77,100,6.26,RU,1691635328
123,ribeira brava,32.65,-17.0667,24.35,72,2,1.52,PT,1691635328
124,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,49,40,3.0,RU,1691635109
125,campeni,46.3667,23.05,13.34,90,100,0.68,RO,1691635328
126,khilok,51.3674,110.4676,19.64,88,100,2.26,RU,1691635328
127,hurricane,37.1753,-113.2899,32.5,42,41,0.89,US,1691635179
128,keren,15.7778,38.4581,21.47,85,100,1.57,ER,1691635328
129,arkhangel'sk,64.5401,40.5433,17.42,85,0,2.21,RU,1691635064
130,mandera,3.9366,41.867,24.44,60,89,6.3,KE,1691635329
131,moose jaw,50.4001,-105.5344,15.26,71,81,6.13,CA,1691635329
132,chonchi,-42.6128,-73.8092,8.56,94,97,3.77,CL,1691635329
133,alofi,-19.0595,-169.9187,27.94,74,40,2.57,NU,1691635329
134,magistral'nyy,56.1725,107.4458,17.35,97,100,1.01,RU,1691635329
135,egersund,58.4513,5.9997,11.16,81,91,8.56,NO,1691635284
136,jamestown,42.097,-79.2353,20.95,77,0,1.54,US,1691635294
137,invercargill,-46.4,168.35,7.79,69,26,0.45,NZ,1691635330
138,pontianak,-0.0333,109.3333,26.99,78,40,2.57,ID,1691635330
139,tuineje,28.3237,-14.0472,21.88,80,3,5.47,ES,1691635330
140,klyuchi,52.2667,79.1667,23.52,39,87,2.56,RU,1691635330
141,glennville,31.9366,-81.9285,28.17,84,71,1.22,US,1691635330
142,vila franca do campo,37.7167,-25.4333,23.23,96,100,4.44,PT,1691635330
143,inhambane,-23.865,35.3833,19.21,71,15,4.73,MZ,1691635047
144,dudinka,69.4058,86.1778,14.79,60,100,9.92,RU,1691635331
145,papatowai,-46.5619,169.4708,5.56,74,52,3.35,NZ,1691635331
146,machico,32.7,-16.7667,24.35,80,40,4.12,PT,1691635269
147,ribeira grande,38.5167,-28.7,21.54,86,88,2.68,PT,1691635331
148,port lincoln,-34.7333,135.8667,14.79,56,33,4.5,AU,1691635331
149,belmonte,-15.8631,-38.8828,21.62,72,1,3.13,BR,1691635331
150,hithadhoo,-0.6,73.0833,27.25,75,67,2.26,MV,1691635332
151,kirakira,-10.4544,161.9205,25.82,84,99,4.52,SB,1691635275
152,olonkinbyen,70.9221,-8.7187,6.49,100,100,3.2,SJ,1691635260
153,sandnessjoen,66.0217,12.6316,15.29,77,7,5.08,NO,1691635304
154,bonab,37.3404,46.0561,24.25,31,0,7.2,IR,1691635332
155,nantucket,41.2835,-70.0995,24.03,71,0,5.66,US,1691635332
156,galle,6.0367,80.217,27.71,81,100,4.28,LK,1691635333
157,port alfred,-33.5906,26.891,14.54,90,0,1.79,ZA,1691635334
158,tura,25.5198,90.2201,26.15,91,100,1.41,IN,1691635334
159,keflavik,64.0049,-22.5624,12.24,71,0,2.57,IS,1691635334
160,bocas del toro,9.3333,-82.25,25.12,89,100,2.24,PA,1691635334
161,boden,65.8252,21.6886,15.0,71,96,1.73,SE,1691635334
162,lincoln,40.8,-96.667,23.43,80,0,2.57,US,1691634779
163,badger,64.8,-147.5333,21.95,74,75,3.09,US,1691635335
